"V1"	"V2"	"V3"	"V4"
"193"	19300	0.0387558454524432	0.0386655149314956	0.000266169051477913
"194"	19400	0.0387398288641415	0.0386415300841914	0.000265911800001957
"195"	19500	0.0387224052933001	0.0386397276831411	0.000266073401820765
"196"	19600	0.0386116745157977	0.0385970060483703	0.000270716575875933
"197"	19700	0.0387822211147421	0.0386022010680466	0.000261478051373592
"198"	19800	0.0387875248312901	0.0385854439841724	0.000264804929549243
"199"	19900	0.0388502148954711	0.0386863055576206	0.000274947313589526
"200"	20000	0.0388349125707456	0.0386530411271741	0.000269972171572266
"201"	20100	0.0388389379283744	0.0386627989299788	0.000271332505189455
"202"	20200	0.0387933076642584	0.0386797237822698	0.000270612475943069
"203"	20300	0.0388446786058581	0.0386651006435754	0.000273420204347349
"204"	20400	0.0389000939561976	0.0387529436329098	0.000268590217362209
"205"	20500	0.0389160133801635	0.0388769416346519	0.000266028853847226
"206"	20600	0.0390321892878603	0.038867044884016	0.000274529109887247
"207"	20700	0.0390537993943879	0.0389298131528598	0.000279532867368697
"208"	20800	0.0389902785250907	0.0388786961937277	0.000277485776006517
"209"	20900	0.0389736930678227	0.0388350317633043	0.000275582968850178
"210"	21000	0.0389998979977754	0.0388532426291385	0.000277070096390707
"211"	21100	0.0390859473098616	0.0389872518328895	0.000276835271364942
"212"	21200	0.0391403145032021	0.0389735973744211	0.000280476825990104
